,Team,Season,Matches Played,wins,draws,losses,Finishing Position,Total Raids,Successful Raids,unsuccessful raid,empty raids,success raid %,no. of super raids,raid touch points,raid bonus points,total raid points,total tackles,successful tackles,unsuccesful tackles,successful tackle %,no. of super tackles,all outs inflicted,total all out points,total defence points
0,u-p-yoddha,Overall,66,28,10,28,-,2827,938,654,1235,42%,38, 884 , 315,1199,1560,600,960, 42%, 62, 70, 140, 658
1,u-p-yoddha,Season7,18,10,2,6,4,757,223,178,356,38%,5, 219 , 70,289,415,177,238, 46%, 16, 21, 42, 192
2,u-p-yoddha,Season6,25,10,4,11,3,1068,357,255,456,42%,10, 318 , 131,449,594,240,354, 45%, 27, 26, 52, 265
3,u-p-yoddha,Season5,23,8,4,11,3,1002,358,221,423,46%,23, 347 , 114,461,551,183,368, 36%, 19, 23, 46, 201
4,tamil-thalaivas,Overall,63,14,9,40,-,2739,954,639,1146,42%,16, 872 , 283,1155,1446,509,937, 38%, 45, 52, 104, 552
5,tamil-thalaivas,Season7,19,3,3,13,12,792,259,210,323,41%,4, 249 , 77,326,431,151,280, 38%, 13, 13, 26, 162
6,tamil-thalaivas,Season6,22,5,4,13,6,925,344,222,359,45%,7, 314 , 105,419,498,174,324, 38%, 15, 20, 40, 189
7,tamil-thalaivas,Season5,22,6,2,14,6,1022,351,207,464,40%,5, 309 , 101,410,517,184,333, 39%, 17, 19, 38, 201
8,haryana-steelers,Overall,64,31,7,26,-,2770,978,610,1182,44%,38, 936 , 292,1228,1581,567,1014, 39%, 50, 70, 140, 615
9,haryana-steelers,Season7,19,12,1,6,3,799,290,174,335,47%,14, 306 , 71,377,475,181,294, 41%, 14, 27, 54, 195
10,haryana-steelers,Season6,22,6,2,14,6,941,361,230,350,48%,12, 306 , 141,447,562,180,382, 34%, 15, 16, 32, 193
11,haryana-steelers,Season5,23,13,4,6,3,1030,327,206,497,39%,12, 324 , 80,404,544,206,338, 42%, 21, 27, 54, 227
12,gujarat-fortunegiants,Overall,69,40,7,22,-,2948,992,677,1279,41%,26, 986 , 219,1205,1500,687,813, 49%, 47, 93, 186, 731
13,gujarat-fortunegiants,Season7,20,6,2,12,8,821,265,220,336,39%,5, 255 , 65,320,417,187,230, 49%, 17, 21, 42, 203
14,gujarat-fortunegiants,Season6,25,18,2,5,1,1072,392,246,434,45%,10, 385 , 95,480,586,258,328, 47%, 18, 36, 72, 274
15,gujarat-fortunegiants,Season5,24,16,3,5,1,1055,335,211,509,38%,11, 346 , 59,405,497,242,255, 51%, 12, 36, 72, 254
16,u-mumba,Overall,125,77,7,41,-,5270,1783,1139,2348,43%,62, 1753 , 493,2246,2870,1210,1660, 46%, 102, 170, 340, 1310
17,u-mumba,Season7,18,9,1,8,5,729,238,166,325,42%,7, 240 , 64,304,377,161,216, 46%, 16, 25, 50, 175
18,u-mumba,Season6,23,15,2,6,2,978,372,196,410,47%,15, 372 , 87,459,558,274,284, 52%, 15, 41, 82, 289
19,u-mumba,Season5,22,10,0,12,4,963,322,219,422,44%,10, 298 , 121,419,539,176,363, 37%, 26, 21, 42, 202
20,patna-pirates,Overall,131,68,13,50,-,5643,2066,1222,2355,47%,90, 2115 , 518,2633,3121,1176,1945, 42%, 131, 193, 386, 1303
21,patna-pirates,Season7,19,6,1,12,9,802,291,184,327,46%,13, 298 , 70,368,448,168,280, 43%, 23, 28, 56, 191
22,patna-pirates,Season6,22,9,2,11,4,934,406,226,302,53%,11, 376 , 120,496,555,186,369, 36%, 16, 30, 60, 201
